n_excitatory,n_inhibitory,sim_time,dt,epsilon,g,eta,J_ex,n_threads,tau,amplitude,sigma_intra,sigma_extra,smooth_window_ms,tau_method,spike_cut_window,solver,lag_ms,lam,lam_l2,chunk_size,n_epochs,lr,device,data_path,name,seed,output_dir,connectivity/pearson,connectivity/auc_roc,diag/ei_ratio,duration_s,timestamp,run_dir
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,0.5,ransac,5,ols,0.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/spikes,42,results/oracle_ladder,0.0038948103490368,0.504947651161374,1.3420642824865772,0.0,2026-06-18T16:53:18,results/oracle_ladder/spikes_lag5
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,0.5,ransac,5,ols,1.0,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/spikes,42,results/oracle_ladder,-0.0270934666031684,0.5022177009011527,1.0440982342565206,0.0,2026-06-18T16:53:18,results/oracle_ladder/spikes_lag10
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,0.5,ransac,5,ols,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/spikes,42,results/oracle_ladder,0.3703292155078653,0.8963144254802913,0.3032207061476668,0.0,2026-06-18T16:53:18,results/oracle_ladder/spikes_lag15
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,0.5,ransac,5,ols,2.0,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/spikes,42,results/oracle_ladder,0.1026427813662359,0.5551262478035494,2.478137471785445,0.0,2026-06-18T16:53:18,results/oracle_ladder/spikes_lag20
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,0.5,ransac,5,ols,3.0,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/spikes,42,results/oracle_ladder,0.0882183074868205,0.5478531096924332,1.463371576782511,0.0,2026-06-18T16:53:18,results/oracle_ladder/spikes_lag30
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,0.5,ransac,5,ols,5.0,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/spikes,42,results/oracle_ladder,0.0684835089971016,0.5290531214036884,1.1096197283723448,0.0,2026-06-18T16:53:18,results/oracle_ladder/spikes_lag50
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.0,0.5,ransac,5,ols,0.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/clean_calcium,42,results/oracle_ladder,0.004475470108795,0.5108474320947893,1.0919335665383083,0.0,2026-06-18T16:53:18,results/oracle_ladder/clean_calcium_lag5
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.0,0.5,ransac,5,ols,1.0,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/clean_calcium,42,results/oracle_ladder,-0.0233721206411488,0.5187385986444222,1.008280875816331,0.0,2026-06-18T16:53:18,results/oracle_ladder/clean_calcium_lag10
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.0,0.5,ransac,5,ols,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/clean_calcium,42,results/oracle_ladder,0.3697576023096875,0.8961232911838332,0.3100031895602599,0.0,2026-06-18T16:53:18,results/oracle_ladder/clean_calcium_lag15
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.0,0.5,ransac,5,ols,2.0,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,ladder/clean_calcium,42,results/oracle_ladder,0.1144616373858133,0.5697121911805748,2.7931578010114584,0.0,2026-06-18T16:53:18,results/oracle_ladder/clean_calcium_lag20
