N,N_E,C_E,J,g,eta,rate,cv,sync,silent,score
1250,1000,100,0.4743,5,0.9,12.82,0.747,0.0256,0.0,0.337
1250,1000,100,0.4743,5,1.0,18.74,0.741,0.0281,0.0,0.598
1250,1000,100,0.4743,5,1.1,23.06,0.73,0.0258,0.0,0.9178
1250,1000,100,0.4743,5,1.2,28.17,0.744,0.0275,0.0,1.2683
1250,1000,100,0.4743,5,1.3,31.97,0.743,0.0234,0.0,1.5407
1250,1000,100,0.4743,5,1.5,40.39,0.749,0.0265,0.0,2.1366
1250,1000,100,0.4743,5,1.75,52.56,0.749,0.0285,0.0,3.0051
1250,1000,100,0.4743,5,2.0,61.64,0.743,0.0293,0.0,3.6595
1250,1000,100,0.4743,6,0.9,9.23,0.795,0.015,0.0,0.5456
1250,1000,100,0.4743,6,1.0,12.95,0.81,0.0172,0.0,0.2653
1250,1000,100,0.4743,6,1.1,16.46,0.824,0.015,0.0,0.352
1250,1000,100,0.4743,6,1.2,19.79,0.848,0.0161,0.0,0.5657
1250,1000,100,0.4743,6,1.3,22.78,0.863,0.0167,0.0,0.7639
1250,1000,100,0.4743,6,1.5,28.44,0.904,0.0157,0.0,1.1274
1250,1000,100,0.4743,6,1.75,35.87,0.93,0.02,0.0,1.6315
1250,1000,100,0.4743,6,2.0,43.32,0.96,0.021,0.0,2.1338
1250,1000,100,0.4743,7,0.9,7.56,0.82,0.0139,0.0,0.6398
1250,1000,100,0.4743,7,1.0,10.97,0.852,0.0158,0.0,0.364
1250,1000,100,0.4743,7,1.1,13.54,0.858,0.0143,0.0,0.1751
1250,1000,100,0.4743,7,1.2,15.64,0.913,0.014,0.0,0.2038
1250,1000,100,0.4743,7,1.3,18.07,0.924,0.0128,0.0,0.3667
1250,1000,100,0.4743,7,1.5,23.0,0.997,0.0146,0.0,0.6463
1250,1000,100,0.4743,7,1.75,28.75,1.047,0.0138,0.0,1.1
1250,1000,100,0.4743,7,2.0,34.4,1.105,0.0137,0.0,1.5622
1250,1000,100,0.4743,8,0.9,6.16,0.842,0.009,0.0,0.718
1250,1000,100,0.4743,8,1.0,8.79,0.88,0.0089,0.0,0.4921
1250,1000,100,0.4743,8,1.1,11.25,0.897,0.0093,0.0,0.2997
1250,1000,100,0.4743,8,1.2,12.96,0.937,0.0088,0.0,0.1374
1250,1000,100,0.4743,8,1.3,14.84,0.975,0.0103,0.0,0.0847
1250,1000,100,0.4743,8,1.5,18.88,1.045,0.0101,0.0,0.3937
1250,1000,100,0.4743,8,1.75,24.65,1.137,0.0121,0.0,0.8975
1250,1000,100,0.4743,8,2.0,28.31,1.197,0.0117,0.0,1.2197
1250,1000,100,0.4743,10,0.9,5.16,0.841,0.0087,0.0,0.7911
1250,1000,100,0.4743,10,1.0,6.77,0.915,0.0064,0.0,0.6013
1250,1000,100,0.4743,10,1.1,8.82,0.938,0.007,0.0,0.4324
1250,1000,100,0.4743,10,1.2,10.29,0.973,0.0062,0.0,0.2924
1250,1000,100,0.4743,10,1.3,11.85,1.04,0.0063,0.0,0.1935
1250,1000,100,0.4743,10,1.5,14.53,1.121,0.0072,0.0,0.1588
1250,1000,100,0.4743,10,1.75,18.9,1.246,0.0078,0.0,0.5963
1250,1000,100,0.4743,10,2.0,22.03,1.339,0.0085,0.0,0.9122
1250,1000,100,0.4743,12,0.9,4.39,0.845,0.006,0.0,0.8415
1250,1000,100,0.4743,12,1.0,5.88,0.915,0.0048,0.0,0.6652
1250,1000,100,0.4743,12,1.1,7.41,0.983,0.0052,0.0,0.4879
1250,1000,100,0.4743,12,1.2,8.72,1.022,0.0051,0.0,0.3989
1250,1000,100,0.4743,12,1.3,10.29,1.079,0.0061,0.0,0.3441
1250,1000,100,0.4743,12,1.5,12.26,1.168,0.0049,0.0,0.2925
1250,1000,100,0.4743,12,1.75,15.77,1.293,0.0058,0.0,0.4195
1250,1000,100,0.4743,12,2.0,18.56,1.354,0.0062,0.0,0.6793
