N,N_E,C_E,J,g,eta,rate,cv,sync,silent,score
1250,1000,100,0.3162,5,0.9,10.64,0.648,0.0143,0.0,0.5915
1250,1000,100,0.3162,5,1.0,16.54,0.582,0.018,0.0,0.5993
1250,1000,100,0.3162,5,1.1,22.46,0.54,0.0172,0.0,1.0645
1250,1000,100,0.3162,5,1.2,28.43,0.506,0.0181,0.0,1.5245
1250,1000,100,0.3162,5,1.3,33.95,0.486,0.0218,0.0,1.939
1250,1000,100,0.3162,5,1.5,44.72,0.458,0.0213,0.0,2.7358
1250,1000,100,0.3162,5,1.75,56.96,0.439,0.0245,0.0,3.6293
1250,1000,100,0.3162,5,2.0,69.74,0.419,0.025,0.0,4.5626
1250,1000,100,0.3162,6,0.9,7.71,0.719,0.0101,0.0,0.7302
1250,1000,100,0.3162,6,1.0,12.07,0.667,0.0104,0.0,0.4703
1250,1000,100,0.3162,6,1.1,16.26,0.634,0.0119,0.0,0.5269
1250,1000,100,0.3162,6,1.2,20.67,0.612,0.0144,0.0,0.8639
1250,1000,100,0.3162,6,1.3,24.96,0.601,0.0148,0.0,1.1816
1250,1000,100,0.3162,6,1.5,32.72,0.574,0.019,0.0,1.7625
1250,1000,100,0.3162,6,1.75,41.82,0.562,0.0168,0.0,2.4259
1250,1000,100,0.3162,6,2.0,50.96,0.549,0.0203,0.0,3.0908
1250,1000,100,0.3162,7,0.9,6.35,0.748,0.0057,0.0,0.7985
1250,1000,100,0.3162,7,1.0,9.9,0.72,0.0076,0.0,0.5731
1250,1000,100,0.3162,7,1.1,13.34,0.693,0.0081,0.0,0.3544
1250,1000,100,0.3162,7,1.2,16.62,0.685,0.0099,0.0,0.502
1250,1000,100,0.3162,7,1.3,20.09,0.68,0.0109,0.0,0.7547
1250,1000,100,0.3162,7,1.5,26.26,0.663,0.0121,0.0,1.2128
1250,1000,100,0.3162,7,1.75,33.46,0.671,0.0145,0.0,1.7193
1250,1000,100,0.3162,7,2.0,40.48,0.672,0.0174,0.0,2.2189
1250,1000,100,0.3162,8,0.9,5.59,0.766,0.0044,0.0,0.8351
1250,1000,100,0.3162,8,1.0,8.63,0.75,0.0067,0.0,0.6335
1250,1000,100,0.3162,8,1.1,11.29,0.746,0.0069,0.0,0.4471
1250,1000,100,0.3162,8,1.2,14.08,0.738,0.0073,0.0,0.2672
1250,1000,100,0.3162,8,1.3,17.02,0.741,0.0092,0.0,0.4746
1250,1000,100,0.3162,8,1.5,21.95,0.738,0.0106,0.0,0.8294
1250,1000,100,0.3162,8,1.75,27.9,0.765,0.012,0.0,1.2276
1250,1000,100,0.3162,8,2.0,33.73,0.775,0.0121,0.0,1.6339
1250,1000,100,0.3162,10,0.9,4.62,0.765,0.0039,0.0,0.9052
1250,1000,100,0.3162,10,1.0,6.79,0.796,0.0041,0.0,0.7193
1250,1000,100,0.3162,10,1.1,8.86,0.804,0.0049,0.0,0.5628
1250,1000,100,0.3162,10,1.2,11.21,0.802,0.0054,0.0,0.3974
1250,1000,100,0.3162,10,1.3,13.36,0.83,0.0069,0.0,0.2151
1250,1000,100,0.3162,10,1.5,17.14,0.848,0.0074,0.0,0.3762
1250,1000,100,0.3162,10,1.75,21.42,0.912,0.0077,0.0,0.6182
1250,1000,100,0.3162,10,2.0,26.14,0.95,0.0097,0.0,0.9173
1250,1000,100,0.3162,12,0.9,3.87,0.768,0.0043,0.0,0.9549
1250,1000,100,0.3162,12,1.0,5.61,0.814,0.0035,0.0,0.7845
1250,1000,100,0.3162,12,1.1,7.77,0.829,0.004,0.0,0.6155
1250,1000,100,0.3162,12,1.2,9.38,0.848,0.0044,0.0,0.4813
1250,1000,100,0.3162,12,1.3,11.11,0.882,0.0055,0.0,0.3244
1250,1000,100,0.3162,12,1.5,14.28,0.951,0.0048,0.0,0.0693
1250,1000,100,0.3162,12,1.75,17.91,0.989,0.0064,0.0,0.2904
1250,1000,100,0.3162,12,2.0,21.42,1.072,0.0069,0.0,0.6015
